image_name,category,sigma,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std,probability
FL_examples (284),follicular_lymphoma,0.3,1,136,12.809,0.2834,44.814,5.765,22.1262,10.2372,1.6785,0.4627,18.3898,6.4279,1.5897,0.3495,0.8445,0.1702,-1.026,0.2016,0.6933,0.1502,-0.744,0.2166,0.8997,0.059,-1.3501,0.0656,6.6894,2.3505,1.4868,0.3514,4.337,0.8091,0.3395,0.1866,1.5345,0.4091,1.5306,0.2666,6.2733,1.3495,7.6058,1.4153,45.57,0.2586,0.0424,2.9921,168.6905,40.6564,0.37580931186676025
FL_examples (170),follicular_lymphoma,0.0,1,139,13.092,0.2283,30.002,5.024,17.4395,6.917,0.1442,0.3966,16.1486,5.1513,0.7675,0.319,0.8487,0.1685,-1.06,0.1985,0.68,0.1675,-0.6391,0.2463,0.8918,0.068,-1.4219,0.0762,5.8875,1.8378,1.0644,0.3122,3.9265,0.9116,-0.2607,0.2322,1.524,0.4123,1.4054,0.2705,6.1239,1.2792,7.6563,1.4246,46.1535,0.269,0.045,2.7559,154.6636,37.1283,0.9990251064300537
FL_examples (170),follicular_lymphoma,0.1,1,141,13.28,0.2239,28.185,5.033,16.856,6.5257,-0.0555,0.3871,15.8504,4.8677,0.4455,0.3071,0.8479,0.1713,-0.984,0.2021,0.675,0.1731,-0.8834,0.2564,0.8906,0.0688,-1.2646,0.0772,5.7558,1.6885,0.8077,0.2934,3.8791,0.9214,-0.3106,0.2375,1.5177,0.4246,1.7036,0.2797,6.0224,1.3328,7.5762,1.4157,47.9602,0.2625,0.0442,2.7667,154.2394,37.2384,0.9994145631790161
FL_examples (170),follicular_lymphoma,0.2,1,147,13.845,0.2445,30.865,5.059,17.6621,7.3803,0.1208,0.4179,16.2435,5.2355,0.6083,0.3223,0.8421,0.1651,-0.9728,0.196,0.6855,0.1634,-0.6353,0.2383,0.889,0.0725,-1.4346,0.0816,5.8941,1.7453,0.7496,0.2961,3.9579,1.01,-0.4357,0.2552,1.5292,0.3976,1.1544,0.26,6.0846,1.2837,7.5084,1.4388,45.9724,0.2721,0.0443,2.7477,154.0972,38.4335,0.9992662072181702
FL_examples (170),follicular_lymphoma,0.3,1,139,13.092,0.2131,27.402,5.073,16.2749,6.2149,-0.0262,0.3819,15.6707,4.6731,0.3979,0.2982,0.8397,0.1761,-0.9252,0.2097,0.6777,0.1654,-0.723,0.2441,0.8892,0.0694,-0.9998,0.0781,5.6712,1.6371,0.9242,0.2887,3.8225,0.9106,-0.3871,0.2382,1.5258,0.4476,1.7456,0.2933,6.0382,1.374,7.6157,1.4611,47.8202,0.2595,0.044,2.7689,147.637,37.2496,0.9994838237762451
FL_examples (218),follicular_lymphoma,0.0,1,141,13.28,0.2237,38.681,5.637,16.8455,9.882,1.7156,0.5866,16.7533,7.5609,1.4027,0.4513,0.7968,0.2211,-0.8058,0.2775,0.7453,0.1526,-0.6336,0.2048,0.8627,0.1031,-1.5588,0.1196,6.305,2.6072,1.1367,0.4135,3.6373,1.1204,1.1726,0.308,1.7836,0.701,2.1271,0.393,6.0285,1.608,7.5695,1.7564,53.0521,0.256,0.0418,2.8527,153.3865,40.331,0.9952915906906128
FL_examples (218),follicular_lymphoma,0.1,1,141,13.28,0.22,38.455,5.667,16.5648,9.8752,1.7523,0.5962,16.4932,7.4469,1.4466,0.4515,0.801,0.2141,-0.8003,0.2672,0.7447,0.1556,-0.736,0.209,0.8655,0.0941,-1.4729,0.1087,6.2033,2.5389,1.2347,0.4093,3.5894,1.1376,1.1861,0.3169,1.7939,0.7441,2.3721,0.4148,6.0755,1.6103,7.6073,1.726,53.0308,0.2569,0.0418,2.8536,153.8724,40.3289,0.9952627420425415
FL_examples (218),follicular_lymphoma,0.2,1,139,13.092,0.2193,38.98,5.733,16.7544,9.8043,1.7446,0.5852,16.6221,7.4474,1.4472,0.448,0.8004,0.2163,-0.7591,0.2703,0.7452,0.1547,-0.6542,0.2076,0.8659,0.097,-1.3902,0.112,6.2702,2.5693,1.232,0.4098,3.6175,1.1411,1.1211,0.3154,1.8032,0.7579,2.282,0.4203,6.0991,1.6381,7.6608,1.726,53.4798,0.2543,0.0418,2.8502,153.3722,40.2516,0.9949997663497925
FL_examples (218),follicular_lymphoma,0.3,1,137,12.904,0.2163,39.04,5.742,16.7627,9.8306,1.7133,0.5865,16.4515,7.6349,1.649,0.4641,0.8152,0.2098,-0.9273,0.2573,0.7261,0.174,-0.8893,0.2396,0.8772,0.0876,-1.3132,0.0998,6.1787,2.6877,1.6678,0.435,3.6311,1.1673,1.5211,0.3215,1.7598,0.7426,2.2928,0.422,6.1018,1.6162,7.6612,1.7411,49.8257,0.2634,0.0426,2.8204,154.7976,40.079,0.9921199083328247
FL_examples (193),follicular_lymphoma,0.0,1,120,11.302,0.1714,36.783,5.875,15.1647,9.4804,1.6101,0.6252,15.7319,6.9355,1.3643,0.4409,0.7806,0.1992,-0.619,0.2552,0.772,0.1706,-1.128,0.2209,0.8445,0.097,-0.9447,0.1148,6.0836,2.0747,1.0156,0.341,3.3796,1.3608,0.9614,0.4026,2.0314,1.0393,2.3963,0.5116,6.0444,1.6595,7.8871,1.7407,68.5696,0.2386,0.0392,2.8501,158.3444,42.4055,0.996182382106781
FL_examples (193),follicular_lymphoma,0.1,1,121,11.397,0.1702,35.94,5.793,14.9379,9.5159,1.6005,0.637,15.5055,7.0306,1.3563,0.4534,0.7876,0.1986,-0.6677,0.2522,0.7697,0.1727,-1.1013,0.2244,0.8454,0.0973,-0.9925,0.115,6.0185,2.0881,1.0178,0.3469,3.3523,1.3631,0.9778,0.4066,2.0245,1.0307,2.3047,0.5091,5.9874,1.6981,7.817,1.754,68.9424,0.2355,0.039,2.8509,158.0595,42.392,0.996182382106781
FL_examples (193),follicular_lymphoma,0.2,1,121,11.397,0.1726,36.232,5.819,15.1478,9.5985,1.5636,0.6337,15.6798,7.0052,1.2677,0.4468,0.7815,0.2017,-0.5799,0.2581,0.7708,0.1719,-1.1825,0.223,0.8446,0.0989,-0.9239,0.1171,6.0583,2.0823,0.987,0.3437,3.3846,1.3796,0.9194,0.4076,2.0196,1.0213,2.355,0.5057,5.9814,1.4962,7.8357,1.5494,67.8917,0.2366,0.0392,2.8456,158.925,42.3502,0.996182382106781
